## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR000982.mapped.sorted.bam] OUTPUT=SRR000982.mapped.sorted.markdup.bam METRICS_FILE=SRR000982.markdup.metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Dec 14 23:24:25 KST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2002	111265	615	2848	296	12618	0	0.113712	452729

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.782106
3.0	2.393795
4.0	2.872201
5.0	3.246365
6.0	3.539001
7.0	3.767873
8.0	3.946876
9.0	4.086875
10.0	4.196369
11.0	4.282004
12.0	4.348981
13.0	4.401363
14.0	4.442332
15.0	4.474374
16.0	4.499434
17.0	4.519034
18.0	4.534363
19.0	4.546352
20.0	4.555728
21.0	4.563062
22.0	4.568797
23.0	4.573283
24.0	4.576791
25.0	4.579535
26.0	4.581681
27.0	4.58336
28.0	4.584673
29.0	4.585699
30.0	4.586502
31.0	4.58713
32.0	4.587621
33.0	4.588006
34.0	4.588306
35.0	4.588541
36.0	4.588725
37.0	4.588868
38.0	4.588981
39.0	4.589069
40.0	4.589138
41.0	4.589191
42.0	4.589233
43.0	4.589266
44.0	4.589292
45.0	4.589312
46.0	4.589328
47.0	4.58934
48.0	4.58935
49.0	4.589357
50.0	4.589363
51.0	4.589368
52.0	4.589371
53.0	4.589374
54.0	4.589376
55.0	4.589378
56.0	4.58938
57.0	4.589381
58.0	4.589381
59.0	4.589382
60.0	4.589383
61.0	4.589383
62.0	4.589383
63.0	4.589384
64.0	4.589384
65.0	4.589384
66.0	4.589384
67.0	4.589384
68.0	4.589384
69.0	4.589384
70.0	4.589384
71.0	4.589384
72.0	4.589384
73.0	4.589384
74.0	4.589384
75.0	4.589384
76.0	4.589384
77.0	4.589384
78.0	4.589384
79.0	4.589384
80.0	4.589384
81.0	4.589384
82.0	4.589384
83.0	4.589384
84.0	4.589384
85.0	4.589384
86.0	4.589384
87.0	4.589384
88.0	4.589384
89.0	4.589384
90.0	4.589384
91.0	4.589384
92.0	4.589384
93.0	4.589384
94.0	4.589384
95.0	4.589384
96.0	4.589384
97.0	4.589384
98.0	4.589384
99.0	4.589384
100.0	4.589384

